"row.names","pclass","survived","name","age","embarked","sex"
"1","1st",1,"Allen, Miss Elisabeth Walton",29.0000,"Southampton","female"
"2","1st",0,"Allison, Miss Helen Loraine", 2.0000,"Southampton","female"
"3","1st",0,"Allison, Mr Hudson Joshua Creighton",30.0000,"Southampton","male"
"4","1st",0,"Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)",25.0000,"Southampton","female"
"5","1st",1,"Allison, Master Hudson Trevor", 0.9167,"Southampton","male"
"6","1st",1,"Anderson, Mr Harry",47.0000,"Southampton","male"
"7","1st",1,"Andrews, Miss Kornelia Theodosia",63.0000,"Southampton","female"
"8","1st",0,"Andrews, Mr Thomas, jr",39.0000,"Southampton","male"
"9","1st",1,"Appleton, Mrs Edward Dale (Charlotte Lamson)",58.0000,"Southampton","female"
"10","1st",0,"Artagaveytia, Mr Ramon",71.0000,"Cherbourg","male"
"11","1st",0,"Astor, Colonel John Jacob",47.0000,"Cherbourg","male"
"12","1st",1,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",19.0000,"Cherbourg","female"
"13","1st",1,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",50.0000,"Cherbourg","female"
"14","1st",0,"Baxter, Mr Quigg Edmond",24.0000,"Cherbourg","male"
"15","1st",0,"Beattie, Mr Thomson",36.0000,"Cherbourg","male"
"16","1st",1,"Beckwith, Mr Richard Leonard",37.0000,"Southampton","male"
"17","1st",1,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",47.0000,"Southampton","female"
"18","1st",1,"Behr, Mr Karl Howell",26.0000,"Cherbourg","male"
"19","1st",0,"Birnbaum, Mr Jakob",25.0000,"Cherbourg","male"
"20","1st",1,"Bishop, Mr Dickinson H.",25.0000,"Cherbourg","male"
"21","1st",1,"Bishop, Mrs Dickinson H. (Helen Walton)",19.0000,"Cherbourg","female"
"22","1st",1,"Bjornstrm-Steffansson, Mr Mauritz Hakan",28.0000,"Southampton","male"
"23","1st",0,"Blackwell, Mr Stephen Weart",45.0000,"Southampton","male"
"24","1st",1,"Blank, Mr Henry",39.0000,"Cherbourg","male"
"25","1st",1,"Bonnell, Miss Caroline",30.0000,"Southampton","female"
